IDSBR,Nama Usaha,Alamat,Kode Wilayah,Status Perusahaan,len,kode_kecamatan,nama_kecamatan
97451642,SUKSES JAYA MOTOR (YOSEP),JL MON.EMMY SAELAN,7371031006,Aktif,10,7371031,Rappocini
97465395,FRASYA FASHION,LANDAK BARU,7371031007,Aktif,10,7371031,Rappocini
97465489,DEPOT SAS,JALAN TIDUNG 10 NO 263,7371031003,Aktif,10,7371031,Rappocini
97448520,SD MUHAMMADIYAH,JL RAPPOCINI RAYA LR 2 NO 16,7371031009,Aktif,10,7371031,Rappocini
97455202,BANK SAMPAH (HASNAH),JL RAPPOCINIRAYA LR 2,7371031009,Aktif,10,7371031,Rappocini
97455266,BANK SAMPAH AISIYAH,JL RAPPOCINI RAYA NO.7A,7371031009,Aktif,10,7371031,Rappocini
97455379,SD INPRES CILALLAN <HJ. HASNIAH>,JL CILALLAN JAYA NO 30,7371031008,Aktif,10,7371031,Rappocini
97459674,JUALAN BAKSO TUSUK KELILING,JALAN TIDUNG,7371031003,Aktif,10,7371031,Rappocini
97464034,PENJAHITAN SASIKIN (KARIM),JL TIDUNG 10 STP 7 NO.64,7371031003,Aktif,10,7371031,Rappocini
97455607,JUAL BARANG PLASTIK (HUMAIRAH),MONGINSIDI BARU,7371031010,Aktif,10,7371031,Rappocini
97455667,JUAL PULSA (SYAMSINAR),JALAN TIDUNG 7,7371031003,Aktif,10,7371031,Rappocini
97452758,WARUNG SEMBAKO(ABDUL AZIS),JALAN TIDUNG 7,7371031003,Aktif,10,7371031,Rappocini
97455755,TOKO SEMBAKO (PUTRI),JL KR BONTOTANGNGA,7371031002,Aktif,10,7371031,Rappocini
97473301,USAHA BENTOR (MARLIN),JL JAMALATE 2 UJUNG,7371031003,Aktif,10,7371031,Rappocini
97473342,CUCI MOTOR (BUHATIJA),JL TIDUNG 10 STP 1 NO 28,7371031003,Aktif,10,7371031,Rappocini
97473377,TOKO ATIFAK,KOMP IKIP BLOK G III NO 9,7371031006,Aktif,10,7371031,Rappocini
97473396,TOKO (RAHMAN),JL TIDUNG 10 STP 7 NO 14,7371031003,Aktif,10,7371031,Rappocini
97473433,TK MAHARDIKA,FAISAL,7371031007,Aktif,10,7371031,Rappocini
97473435,BRITON,JALAN TALASALAPANG,7371031002,Aktif,10,7371031,Rappocini
97476264,GEDUNG AUDITORIUM AMANAGAPPA,JL RAYA PENDIDIKAN UNM,7371031006,Aktif,10,7371031,Rappocini
97468653,APOTIK MIRZHA,AROPALA NO 26,7371031004,Aktif,10,7371031,Rappocini
97476287,TOKO (HJ HAJERAWATI),JL TIDUNG 9 NO 139,7371031003,Aktif,10,7371031,Rappocini
97476307,NATURAL WALPAPER,JL RAPPOCINI RAYA NO 89 C,7371031009,Aktif,10,7371031,Rappocini
97476370,PENJUALAN PAKAIAN ANAK (ANDI TENRI A),JL BONTOLANGKASA,7371031007,Aktif,10,7371031,Rappocini
97468706,TPA AL JAUHARATUL HUDRO,JL HERTASNING BARU,7371031004,Aktif,10,7371031,Rappocini
97473642,RUSDI GALLERY,LANDAK BARU KOMPLEKS,7371031007,Aktif,10,7371031,Rappocini
97468745,BAKMI JAWA PAK PARDI,HERTASNING BARU NO 30,7371031004,Aktif,10,7371031,Rappocini
97473737,FOTO COPY,JL TALASALAPANG PERUM JIPANG PERMAI BLOK DP 9 NO 5,7371031002,Aktif,10,7371031,Rappocini
97473773,WARUNG SEMBAKO,KOMP IKIP BLOK B III NO 17,7371031006,Aktif,10,7371031,Rappocini
97474397,BENGKEL RM 09,JL TIDUNG 9 STP 11 NO 140,7371031003,Aktif,10,7371031,Rappocini
97473889,RINI BERKAH (KUE KERING),JL TIDUNG 9 STP 4 NO 100,7371031003,Aktif,10,7371031,Rappocini
97474625,JUALAN PAKAIAN (PAJA),JL TAMALATE 2 UJUNG,7371031003,Aktif,10,7371031,Rappocini
97474054,KOPI SAHABAT (MAEMUNAH),JL TIDUNG 10 NO 8,7371031003,Aktif,10,7371031,Rappocini
97473998,JR LOUNDRY (ISMAIL),TAMALATE 1 NO 12 B,7371031005,Aktif,10,7371031,Rappocini
97490476,PENJUAL TUPPER WARE (CUT HERNAWATI),KOMP BUMI PESONA PELANGI BLOK UNGU NO 1,7371031001,Aktif,10,7371031,Rappocini
97490508,JUAL BELI MOGE,JALAN KELAPA TIGA 2 NO 22,7371031010,Aktif,10,7371031,Rappocini
97490511,KOST KOSTAN,JL BUMI 21,7371031001,Aktif,10,7371031,Rappocini
97490512,BUAT MEUBEL (SABARUDDIN),JL BUMI 23,7371031001,Aktif,10,7371031,Rappocini
97490521,WARUNG SEMBAKO (ANDI ARIS),PERUM GOSYEN INDAH,7371031001,Aktif,10,7371031,Rappocini
97490532,WARKOP SS,JL TAMALATE 1,7371031006,Aktif,10,7371031,Rappocini
97490551,BUTIK ZAHRA (SURYANI),JL TALASALAPANG RAYA NO 6,7371031001,Aktif,10,7371031,Rappocini
97490564,SANI FC (SYAMSUDDIN),JL TALASALAPANG RAYA,7371031001,Aktif,10,7371031,Rappocini
97490565,ICE QUEENSHA,JL TALASALAPANG RAYA,7371031001,Aktif,10,7371031,Rappocini
97490580,TOKO KELONTONG (CITRA),JL TODDOPULI 1 SETAPAK 1,7371031004,Aktif,10,7371031,Rappocini
97490520,ERANDO MART,JL AROEPAL A NO 27 B HERTIASNING BARU,7371031001,Aktif,10,7371031,Rappocini
97459722,SERVIS RESMI PIONEER,MONGINSIDI BARU,7371031010,Aktif,10,7371031,Rappocini
97459700,TUPPERWARE,TIDUNG 9 NO 46,7371031004,Aktif,10,7371031,Rappocini
97490630,DEWINTA TRAVEL,BTN MINASA UPA BLOK E1 NO 2,7371031001,Aktif,10,7371031,Rappocini
97490662,ARIB TOUR AND TRAVEL,JL AROEPALA TIMUR NO 62,7371031001,Aktif,10,7371031,Rappocini
97464082,TOKO BABA PETSHOP(ASWIN),JL TAMALATE 1 NO 6A,7371031005,Aktif,10,7371031,Rappocini
97472564,APOTIK BINTANG JAYA,JL RAPPOCINI RAYA NO 24 E,7371031009,Aktif,10,7371031,Rappocini
97472643,USAHA BENTOR,JL TAMALATE 2 UJUNG,7371031003,Aktif,10,7371031,Rappocini
97490940,PS PELITA ANUGRAH (RONI),JALAN PELITA RAYA NO 30,7371031010,Aktif,10,7371031,Rappocini
97490933,AROMA LAUNDRY(HAKIM),BTN MINASA UPA BLOK H 6 NO 10,7371031001,Aktif,10,7371031,Rappocini
97490926,UD SENANG,JL AROEPALA 65,7371031001,Aktif,10,7371031,Rappocini
97469775,JAHITAN (CITTA HAKIM),JL SUNGAI SADDANG BARU,7371031010,Aktif,10,7371031,Rappocini
97506019,KAS FC,JL TALASALAPANG RAYA,7371031001,Aktif,10,7371031,Rappocini
97506026,MINI MARKET,KAMPUS UNISMUH JL SULTAN ALAUDDIN NO 259,7371031001,Aktif,10,7371031,Rappocini
97506057,MEDICAL THERAPY DAN HERBAL STREAM,JL RAYA PENDIDIKAN 3 BLOK D/3 NO 14 A,7371031006,Aktif,10,7371031,Rappocini
97506061,MYLINHA CARGO (HJ MARLINA),JL RAYA PENDIDIKAN 3 BLOK A/3 NO 20,7371031006,Aktif,10,7371031,Rappocini
97469852,PONDOK 110,HERTASNING,7371031005,Aktif,10,7371031,Rappocini
97506092,ROTI DAN CAKE<EDIATI>,JALAN BUMI 8 BLOK 12A,7371031001,Aktif,10,7371031,Rappocini
97506104,DEPOT ANUGRAH LESTARI,JL TAMALATE 4 STP 15 NO 65 RT 03 RW 02 90222,7371031004,Aktif,10,7371031,Rappocini
97467674,AGEN POS PET WATT 45,JL RAPPOCINI RAYA NO.45,7371031009,Aktif,10,7371031,Rappocini
