input_id,title_maps,address_maps,IDSBR_best,nama_bps_best,alamat_bps_best,score_jw,label
48d09029-f7f9-4aed-9e8c-08b76eff79c4,istana komik,"RC8W+HXC Istana Komik, Jalan Talasalapang BPH Plaza, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97459466,istana variasi,sultan alauddin,0.85,unmatch
4cb0876e-7881-4443-a10a-540c0ee69fde,warung jowo,"Jl. Rappocini Raya Lrg. 11 No.6E, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97489771,warung mas joko,jl talasalapang raya no,0.92,unmatch
4cb0876e-7881-4443-a10a-540c0ee69fde,warung mas ilham,"Jl. Rappocini Raya Lrg. 11 No.163A, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97498339,warung makan,rappocini kel. gunung sari,0.89,unmatch
4cb0876e-7881-4443-a10a-540c0ee69fde,warung mbak dini,"Jl. Monumen Emmy Saelan No.116, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97498339,warung makan,rappocini kel. gunung sari,0.92,unmatch
4cb0876e-7881-4443-a10a-540c0ee69fde,warung panpora,"003, Jl. Rappocini Raya No.191, RW.04, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",98049215,warung pangkep,aroepala,0.91,unmatch
4cb0876e-7881-4443-a10a-540c0ee69fde,warung makan aulia,"RF96+MX7 Warung Makan Aulia, Jalan Bertasning Baru Aroepala, Gunung Sari Rappocini, Rappocini, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90223",98049301,warung makan talenta,jl aroepala no 128,0.94,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko ali,"RCHX+XV8 Toko ALI, Jl. Tamalate VI, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97505583,toko mulia,jl rappocini raya no 84,0.93,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,muscular development store (mds),"Jl. Rappocini Raya No.100, Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",97501066,pt kumala celebes motor (mazda 2),jl ap pettarani,0.69,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko ifan,"Jl. Minasa Upa No.26 Blok K9, Gunung Sari, Rappocini, Makassar City, South Sulawesi 90222",97461234,toko iksan,jl jipang permak blok dp 9 no 5,0.94,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,losarivape rappocini,"Jl. Rappocini Raya No.276, Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",5407452,bahari rappocini,jl rappocini raya no 165 b,0.79,unmatch
